gid,lat,lon,n_pumpjacks,grid_area_km2,pumpjack_density_km2,distance_to_nearest_pumpjack_km,distance_to_nearest_high_density_cluster_km,pumpjack_class
37.75_119.85,37.75,119.85,0,98.11564122599933,0.0,58.49332964732359,71.38403504297446,No-well
37.75_119.95,37.75,119.95,0,98.11564122599933,0.0,67.3014815963743,80.10183488967517,No-well
37.85_117.85,37.85,117.85,58,98.11564122599933,0.591139183062596,2.7389146877522834,34.566447753554286,Q4
37.85_117.95,37.85,117.95,13,98.11564122599933,0.1324967134450646,4.443079936047344,28.39754629696884,Q4
37.85_118.05,37.85,118.05,0,98.11564122599933,0.0,10.783281244153972,23.945133762878047,No-well
37.85_118.15,37.85,118.15,0,98.11564122599933,0.0,10.358339995304569,17.627675390943885,No-well
37.85_118.25,37.85,118.25,41,98.11564122599933,0.417874250095973,3.869574393583244,8.813837695471943,Q4
37.85_118.35,37.85,118.35,118,98.11564122599933,1.2026624758859712,0.2214241866814076,0.0,Q4
37.85_118.45,37.85,118.45,22,98.11564122599933,0.2242252073685709,4.478295429563151,8.813837695473804,Q4
37.85_118.55,37.85,118.55,2,98.11564122599933,0.0203841097607791,5.586624072696833,8.813837695473804,Q3
37.85_118.65,37.85,118.65,159,98.11564122599933,1.6205367259819443,1.2730282231769543,0.0,Q4
37.85_118.75,37.85,118.75,1306,98.11564122599933,13.3108236737888,0.1483889871965164,0.0,Q4
37.85_118.85,37.85,118.85,1024,98.11564122599933,10.436664197518937,1.021727346663225,0.0,Q4
37.85_118.95,37.85,118.95,91,98.11564122599933,0.9274769941154524,2.342855673835482,8.813837695471943,Q4
37.85_119.05,37.85,119.05,1580,98.11564122599933,16.103446711015547,0.159202136420127,0.0,Q4
37.85_119.15,37.85,119.15,0,98.11564122599933,0.0,5.031316874386339,8.813837695473804,No-well
37.85_119.25,37.85,119.25,0,98.11564122599933,0.0,11.522009162172951,17.627675390945747,No-well
37.85_119.35,37.85,119.35,0,98.11564122599933,0.0,18.811786393743414,26.44151308641769,No-well
37.85_119.45,37.85,119.45,0,98.11564122599933,0.0,26.5429972607762,35.255350781891494,No-well
37.85_119.55,37.85,119.55,0,98.11564122599933,0.0,34.664379846203175,44.06918847736344,No-well
37.85_119.65,37.85,119.65,0,98.11564122599933,0.0,42.960696442627565,52.88302617283724,No-well
37.85_119.75,37.85,119.75,0,98.11564122599933,0.0,51.40920453560577,61.69686386830919,No-well
37.85_119.85,37.85,119.85,0,98.11564122599933,0.0,59.96297735249765,70.51070156378113,No-well
37.85_119.95,37.85,119.95,0,98.11564122599933,0.0,68.58263967515971,79.32453925925307,No-well
37.95_117.85,37.95,117.85,59,98.11564122599933,0.6013312379429856,2.783254442278228,28.6892843810925,Q4
37.95_117.95,37.95,117.95,69,98.11564122599933,0.7032517867468815,1.6318385257788552,20.848413936999822,Q4
37.95_118.05,37.95,118.05,0,98.11564122599933,0.0,7.664922306014282,14.19877314848442,No-well
37.95_118.15,37.95,118.15,0,98.11564122599933,0.0,6.860750211681319,11.132,No-well
37.95_118.25,37.95,118.25,85,98.11564122599933,0.8663246648331149,3.281067649880725,8.813837695471943,Q4
37.95_118.35,37.95,118.35,143,98.11564122599933,1.457463847895711,1.2907689083925042,0.0,Q4
37.95_118.45,37.95,118.45,144,98.11564122599933,1.4676559027761005,0.0967374702738853,0.0,Q4
37.95_118.55,37.95,118.55,80,98.11564122599933,0.8153643904311669,1.6708833203024516,8.813837695471943,Q4
37.95_118.65,37.95,118.65,235,98.11564122599933,2.395132896891553,0.3233327066424062,0.0,Q4
37.95_118.75,37.95,118.75,23,98.11564122599933,0.2344172622489604,3.5536016603307568,8.813837695471943,Q4
37.95_118.85,37.95,118.85,113,98.11564122599933,1.1517022014840232,1.600801046758406,0.0,Q4
37.95_118.95,37.95,118.95,108,98.11564122599933,1.1007419270820753,1.5612532284317564,8.813837695471943,Q4
37.95_119.05,37.95,119.05,688,98.11564122599933,7.012133757708035,1.0852974074080293,0.0,Q4
37.95_119.15,37.95,119.15,0,98.11564122599933,0.0,7.052335020346352,8.813837695473804,No-well
37.95_119.25,37.95,119.25,0,98.11564122599933,0.0,14.942987672378832,17.627675390945747,No-well
37.95_119.35,37.95,119.35,0,98.11564122599933,0.0,23.499314921051894,26.44151308641769,No-well
37.95_119.45,37.95,119.45,0,98.11564122599933,0.0,32.185567483409834,35.255350781891494,No-well
37.95_119.55,37.95,119.55,0,98.11564122599933,0.0,39.595104572513534,44.06918847736344,No-well
37.95_119.65,37.95,119.65,0,98.11564122599933,0.0,47.32829560289341,52.88302617283724,No-well
37.95_119.75,37.95,119.75,0,98.11564122599933,0.0,55.20680239698424,61.69686386830919,No-well
